iter	Logloss
0	0.6130267814
1	0.5553352408
2	0.5082820909
3	0.471321283
4	0.4402612702
5	0.4207203638
6	0.4015018528
7	0.3891491259
8	0.3759975292
9	0.3654997007
10	0.3539704996
11	0.3452396546
12	0.3395399126
13	0.3323173072
14	0.3259315817
15	0.3206497241
16	0.3152816791
17	0.3106486695
18	0.3065237376
19	0.303879632
20	0.2992143652
21	0.2963044782
22	0.2932032027
23	0.2916714509
24	0.2881884737
25	0.285983408
26	0.2838227211
27	0.2815560059
28	0.2802133095
29	0.2787980955
30	0.2773546724
31	0.2750658947
32	0.2714061965
33	0.2684538917
34	0.2659524647
35	0.2640537689
36	0.2624245643
37	0.2614905317
38	0.2597721044
39	0.2586188174
40	0.257790911
41	0.2567535499
42	0.2548672413
43	0.2538728022
44	0.2513513429
45	0.2502561767
46	0.2485613824
47	0.2468081938
48	0.245787281
49	0.2448685544
50	0.2440763958
51	0.2431400094
52	0.2420502179
53	0.2415039574
54	0.2406098983
55	0.239172812
56	0.2379477326
57	0.2366543071
58	0.234962429
59	0.2340262229
60	0.2333695235
61	0.232180761
62	0.23111358
63	0.2299763823
64	0.2291231271
65	0.2286187007
66	0.2279585992
67	0.2276035379
68	0.2263879317
69	0.2259627429
70	0.2248534792
71	0.2242464647
72	0.2237339268
73	0.2228172054
74	0.2220731306
75	0.2213592391
76	0.220883121
77	0.2204708398
78	0.2197275953
79	0.2191466145
80	0.2188615243
81	0.2186086324
82	0.217769611
83	0.2173715434
84	0.2169314345
85	0.2163760497
86	0.2159870753
87	0.2156798249
88	0.2153964527
89	0.2147708873
90	0.2143746355
91	0.2136778034
92	0.2131577563
93	0.2129249468
94	0.212436897
95	0.2119753331
96	0.2113663275
97	0.21089706
98	0.2106116615
99	0.2100913824
100	0.2096660146
101	0.2090057806
102	0.2087212826
103	0.2081770289
104	0.2074982044
105	0.2073024241
106	0.206976618
107	0.2067641865
108	0.2064765544
109	0.2059165752
110	0.2053484531
111	0.2050863749
112	0.2045550035
113	0.2040546937
114	0.2039357302
115	0.2033428108
116	0.2030780156
117	0.2026447531
118	0.2023744008
119	0.2018043364
120	0.2014186424
121	0.200923854
122	0.2003547017
123	0.2001097624
124	0.19982197
125	0.1995734248
126	0.1991975182
127	0.1987410266
128	0.1983707005
129	0.1979708356
130	0.1974197906
131	0.1971489565
132	0.1966702139
133	0.1961406778
134	0.195890465
135	0.1954284833
136	0.1950442231
137	0.1947832856
138	0.1947400279
139	0.1945053335
140	0.1942240266
141	0.1940337496
142	0.1937957817
143	0.193617715
144	0.1931390154
145	0.1930058279
146	0.1927609632
147	0.1922557954
148	0.1919235459
149	0.1915982983
150	0.1914593027
151	0.191237641
152	0.1910046322
153	0.1908162337
154	0.1906092545
155	0.1904632447
156	0.1902533435
157	0.1901968441
158	0.1899249534
159	0.1896931183
160	0.1894626505
161	0.1890742003
162	0.1888767656
163	0.1885272827
164	0.1881664866
165	0.1879945977
166	0.187954454
167	0.1879377691
